IndicativJudet,NumeJudet,Regiune,Autobuze_microbuze,Autoturisme,Mopede_motociclete ,AutovehiculePentruTransportulMarfurilor,VehiculeRutiere_ScopuriSpeciale,Tractoare,Remorci_semiremorci
ab,Alba,Centru,800,135177,3540,23038,679,1134,14246
ar,Arad,Vest,1153,173533,4879,27869,901,997,18871
ag,Arges,Sud,1870,239501,4510,43363,1619,1852,19947
bc,Bacau,Nord-Est,1359,189577,3366,29058,1156,904,12438
bh,Bihor,Nord-Vest,1443,223325,5535,39044,1159,712,23316
bn,Bistrita-Nasaud,Nord-Vest,619,103044,1843,20081,487,366,9496
bt,Botosani,Nord-Est,806,101492,1311,13170,497,481,4826
br,Braila,Sud-Est,801,98901,1334,13084,473,411,6642
bv,Brasov,Centru,1741,224046,12148,29732,1646,2397,17949
bz,Buzau,Sud-Est,1023,142014,2122,26032,887,722,9817
cl,Calarasi,Sud,584,72866,1125,11250,388,587,5675
cs,Caras-Severin,Vest,644,100119,2887,12058,574,880,6746
cj,Cluj,Nord-Vest,1985,296870,8769,46394,1699,1212,21158
ct,Constanta,Sud-Est,2268,286102,5123,36157,1845,1069,16610
cv,Covasna,Centru,422,73291,2609,12438,441,2697,9973
db,Dambovita,Sud,1219,162854,2963,24505,1132,1040,10324
dj,Dolj,Sud-Vest,1292,239499,3010,35208,1128,929,15145
gl,Galati,Sud-Est,1379,175600,2576,26929,902,660,13184
gr,Giurgiu,Sud,712,81509,1642,13185,583,358,4790
gj,Gorj,Sud-Vest,1149,126991,2080,19409,698,1727,8816
hr,Harghita,Centru,546,111595,4499,17108,684,959,14392
hd,Hunedoara,Vest,1237,156120,3841,20282,1046,1036,11847
il,Ialomita,Sud,642,75962,908,11947,540,647,6469
is,Iasi,Nord-Est,1932,218315,3385,32039,1093,708,10081
if,Ilfov,Bucuresti-Ilfov,1194,196721,4638,33295,1559,208,9692
mm,Maramures,Nord-Vest,1086,167276,3682,30485,934,628,12996
mh,Mehedinti,Sud-Vest,647,89231,1539,11872,444,360,6780
b,Municipiul Bucuresti,Bucuresti-Ilfov,9823,1227038,31031,199067,12014,2943,53394
ms,Mures,Centru,1234,194260,6784,27591,1652,1130,15955
nt,Neamt,Nord-Est,1066,147640,2723,24218,770,684,10497
ot,Olt,Sud-Vest,672,129098,1615,19418,609,750,8495
ph,Prahova,Sud,1980,273598,6341,36761,2016,1228,17230
sj,Salaj,Nord-Vest,555,81822,1685,13305,478,297,9176
sm,Satu Mare,Nord-Vest,838,128467,3499,21092,566,1115,10893
sb,Sibiu,Centru,1133,159651,4876,22390,1072,575,15834
sv,Suceava,Nord-Est,1333,226648,3630,44985,1121,815,17952
tr,Teleorman,Sud,642,93055,1131,14688,544,411,5571
tm,Timis,Vest,1515,296116,9379,39947,1611,1108,20971
tl,Tulcea,Sud-Est,504,68708,1247,11467,489,386,5085
vl,Valcea,Sud-Vest,979,126577,2746,20067,1180,1671,11884
vs,Vaslui,Nord-Est,909,95597,1434,15569,463,615,5216
vn,Vrancea,Sud-Est,615,101233,1859,21767,548,1037,7733
