IndicativJudet,Nume judet,Categoria minimala
ab,Alba,VehiculeRutiere_ScopuriSpeciale
ar,Arad,VehiculeRutiere_ScopuriSpeciale
ag,Arges,VehiculeRutiere_ScopuriSpeciale
bc,Bacau,Tractoare
bh,Bihor,Tractoare
bn,Bistrita-Nasaud,Tractoare
bt,Botosani,Tractoare
br,Braila,Tractoare
bv,Brasov,VehiculeRutiere_ScopuriSpeciale
bz,Buzau,Tractoare
cl,Calarasi,VehiculeRutiere_ScopuriSpeciale
cs,Caras-Severin,VehiculeRutiere_ScopuriSpeciale
cj,Cluj,Tractoare
ct,Constanta,Tractoare
cv,Covasna,Autobuze_microbuze
db,Dambovita,Tractoare
dj,Dolj,Tractoare
gl,Galati,Tractoare
gr,Giurgiu,Tractoare
gj,Gorj,VehiculeRutiere_ScopuriSpeciale
hr,Harghita,Autobuze_microbuze
hd,Hunedoara,Tractoare
il,Ialomita,VehiculeRutiere_ScopuriSpeciale
is,Iasi,Tractoare
if,Ilfov,Tractoare
mm,Maramures,Tractoare
mh,Mehedinti,Tractoare
b,Municipiul Bucuresti,Tractoare
ms,Mures,Tractoare
nt,Neamt,Tractoare
ot,Olt,VehiculeRutiere_ScopuriSpeciale
ph,Prahova,Tractoare
sj,Salaj,Tractoare
sm,Satu Mare,VehiculeRutiere_ScopuriSpeciale
sb,Sibiu,Tractoare
sv,Suceava,Tractoare
tr,Teleorman,Tractoare
tm,Timis,Tractoare
tl,Tulcea,Tractoare
vl,Valcea,Autobuze_microbuze
vs,Vaslui,VehiculeRutiere_ScopuriSpeciale
vn,Vrancea,VehiculeRutiere_ScopuriSpeciale
